"ii","rr","Val"
"isr","USA",-0.860934272233071
"isr","ROW",-0.738756208675814
"obs","USA",-0.872224790655843
"obs","ROW",-0.736608877850647
"ros","USA",-0.862997269868165
"ros","ROW",-0.732311171251022
"osg","USA",-0.881406509437111
"osg","ROW",-0.736984084127058
"dwe","USA",-0.870472505037043
"dwe","ROW",-0.776226208858185
"pdr","USA",-1.15467341134633E-6
"pdr","ROW",-0.163391262005396
"wht","USA",-3.04156209042743E-5
"wht","ROW",-0.100937161083286
"gro","USA",-8.47420677057321E-5
"gro","ROW",-0.149514666602967
"v_f","USA",-0.00404139788746305
"v_f","ROW",-0.13954725096596
"osd","USA",-4.96506809861513E-5
"osd","ROW",-0.13716163844208
"c_b","USA",-2.44757608968071E-5
"c_b","ROW",-0.109389086392385
"pfb","USA",-0.774377060788007
"pfb","ROW",-0.337302388032317
"ocr","USA",-0.000744785999893379
"ocr","ROW",-0.0932839613154851
"ctl","USA",-0.778455489232266
"ctl","ROW",-0.291397617575754
"oap","USA",-0.778618826997073
"oap","ROW",-0.320619825544318
"rmk","USA",-0.778512553229147
"rmk","ROW",-0.290167311616275
"wol","USA",-0.774370848636164
"wol","ROW",-0.267039379585853
"frs","USA",-0.855805240203194
"frs","ROW",-0.414953831375384
"fsh","USA",-0.778507659638988
"fsh","ROW",-0.356518745245036
"coa","USA",-0.856360079064293
"coa","ROW",-0.502666750803706
"oil","USA",-0.844433710988841
"oil","ROW",-0.500807155864332
"gas","USA",-0.856601497923242
"gas","ROW",-0.66703544640457
"omn","USA",-0.855740800489901
"omn","ROW",-0.547082597315819
"cmt","USA",-0.779775311458149
"cmt","ROW",-0.476031557236542
"omt","USA",-0.779628546415517
"omt","ROW",-0.480611523428619
"vol","USA",-0.730010700920178
"vol","ROW",-0.301971404638668
"mil","USA",-0.779475839656354
"mil","ROW",-0.49541100468632
"pcr","USA",-0.000281485109724841
"pcr","ROW",-0.144649932103687
"sgr","USA",-0.730014599497185
"sgr","ROW",-0.327938469683297
"ofd","USA",-0.735466700313202
"ofd","ROW",-0.463059287926679
"b_t","USA",-0.733244393465604
"b_t","ROW",-0.482278541519965
"tex","USA",-0.775679791229766
"tex","ROW",-0.488491755536955
"wap","USA",-0.777801819161983
"wap","ROW",-0.519461876927345
"lea","USA",-0.775297017244219
"lea","ROW",-0.486637208600471
"lum","USA",-0.856459806330978
"lum","ROW",-0.586864321113895
"ppp","USA",-0.857001371868225
"ppp","ROW",-0.69747160580902
"p_c","USA",-0.847556955365834
"p_c","ROW",-0.636820704658173
"crp","USA",-0.859017221019384
"crp","ROW",-0.649199464306379
"nmm","USA",-0.855862617399423
"nmm","ROW",-0.63133376890714
"i_s","USA",-0.855740564391244
"i_s","ROW",-0.563051700636683
"nfm","USA",-0.855743961931611
"nfm","ROW",-0.613654602857578
"fmp","USA",-0.855962444674764
"fmp","ROW",-0.656143989479217
"mvh","USA",-0.859215331819588
"mvh","ROW",-0.71632139982527
"otn","USA",-0.844994563899161
"otn","ROW",-0.591966220049192
"ele","USA",-0.857034219466854
"ele","ROW",-0.687109381762704
"ome","USA",-0.857889437295911
"ome","ROW",-0.673225419264495
"omf","USA",-0.857379326651541
"omf","ROW",-0.696986644747894
"ely","USA",-0.85819767947341
"ely","ROW",-0.672542543674822
"wtr","USA",-0.857018988284739
"wtr","ROW",-0.660335828402184
"cns","USA",-0.856362580441274
"cns","ROW",-0.658329765086345
"trd","USA",-0.889122332809019
"trd","ROW",-0.785474770781909
"otp","USA",-0.846387504134373
"otp","ROW",-0.62316234374447
"wtp","USA",-0.844599562595329
"wtp","ROW",-0.573065774043067
"atp","USA",-0.844620396363591
"atp","ROW",-0.676185312179573
"cmn","USA",-0.848376332346281
"cmn","ROW",-0.660694190076699
"ofi","USA",-0.87886121061
"ofi","ROW",-0.732848949419949
