"ii","Val"
"isr",1.89999997615814
"obs",1.89999997615814
"ros",1.89999997615814
"osg",1.89999997615814
"dwe",1.89999997615814
"pdr",5.05000019073486
"wht",4.44999980926514
"gro",1.29999995231628
"v_f",1.85000002384186
"osd",2.45000004768372
"c_b",2.70000004768372
"pfb",2.5
"ocr",3.25
"ctl",2
"oap",1.29999995231628
"rmk",3.65000009536743
"wol",6.44999980926514
"frs",2.5
"fsh",1.25
"coa",3.04999995231628
"oil",5.19999980926514
"gas",12.8485668965144
"omn",0.899999976158142
"cmt",3.84999990463257
"omt",4.40000009536743
"vol",3.29999995231628
"mil",3.65000009536743
"pcr",2.59999990463257
"sgr",2.70000004768372
"ofd",2
"b_t",1.14999997615814
"tex",3.75
"wap",3.70000004768372
"lea",4.05000019073486
"lum",3.40000009536743
"ppp",2.95000004768372
"p_c",2.09999990463257
"crp",3.29999995231628
"nmm",2.90000009536743
"i_s",2.95000004768372
"nfm",4.19999980926514
"fmp",3.75
"mvh",2.79999995231628
"otn",4.30000019073486
"ele",4.40000009536743
"ome",4.05000019073486
"omf",3.75
"ely",2.79999995231628
"wtr",2.79999995231628
"cns",1.89999997615814
"trd",1.89999997615814
"otp",1.89999997615814
"wtp",1.89999997615814
"atp",1.89999997615814
"cmn",1.89999997615814
"ofi",1.89999997615814
