"Dim1","rr","Val"
"isr","USA",0.0664354319822954
"isr","ROW",0.0175080579262882
"obs","USA",0.0129912378693002
"obs","ROW",0.0125162055576775
"ros","USA",0.0140242254049449
"ros","ROW",0.0144665398457935
"osg","USA",0.00277684672955614
"osg","ROW",0.00261682753979562
"dwe","USA",0.168732438423284
"dwe","ROW",0.0273145052161643
"pdr","USA",-0.00343941693775518
"pdr","ROW",-0.0066570021451574
"wht","USA",-0.000152380614495851
"wht","ROW",-0.0391618414304635
"gro","USA",-0.000349608772264309
"gro","ROW",-0.00113800979750778
"v_f","USA",-1.99025400364761E-5
"v_f","ROW",0.0012487018307596
"osd","USA",-0.000228020915379101
"osd","ROW",0.00149739883410952
"c_b","USA",-0.000960277577036539
"c_b","ROW",-0.0199691540247911
"pfb","USA",-0.00224408798645981
"pfb","ROW",-0.0251757886172891
"ocr","USA",-1.30320554851959E-5
"ocr","ROW",-0.0176024732139241
"ctl","USA",-5.07730172865095E-5
"ctl","ROW",0.00338941142589243
"oap","USA",-4.80230691595196E-5
"oap","ROW",0.00183313551917417
"rmk","USA",-6.78120550643424E-5
"rmk","ROW",0.00137865499064911
"wol","ROW",0.00508505349274796
"frs","USA",0.0522288613639461
"frs","ROW",0.00384612868633231
"fsh","USA",0.0194336490117376
"fsh","ROW",0.0076247573584499
"coa","USA",0.0872011125700874
"coa","ROW",-0.0271003076413904
"oil","USA",0.0459117618468722
"oil","ROW",0.0220703628730665
"gas","USA",0.0389757256450857
"gas","ROW",0.0391258411180895
"omn","USA",0.0442633017799241
"omn","ROW",0.0134726248657183
"cmt","USA",0.00695006920704111
"cmt","ROW",0.0155444976644347
"omt","USA",0.00829394050450261
"omt","ROW",0.0111564384758866
"vol","USA",0.00630899317450406
"vol","ROW",0.0130678838846592
"mil","USA",0.00646573936114581
"mil","ROW",0.0113356377011777
"pcr","USA",0.00662575598192805
"pcr","ROW",-0.00799270216883435
"sgr","USA",0.00618948851689238
"sgr","ROW",0.0308189604257509
"ofd","USA",0.0090854831465681
"ofd","ROW",0.0123496478018795
"b_t","USA",0.00881659093362397
"b_t","ROW",0.0841370836522703
"tex","USA",0.00984537963117438
"tex","ROW",0.0129866512915602
"wap","USA",0.0049915604776849
"wap","ROW",0.0289918047738106
"lea","USA",0.00633248487767579
"lea","ROW",0.0217508703425481
"lum","USA",0.00591527502653644
"lum","ROW",0.010038737497786
"ppp","USA",0.00770479897276077
"ppp","ROW",0.012838401676108
"p_c","USA",0.025884796420376
"p_c","ROW",0.0845733385398206
"crp","USA",0.00650253266170098
"crp","ROW",0.0149782928553159
"nmm","USA",0.00964789777049835
"nmm","ROW",0.00854179981307556
"i_s","USA",0.0115728195552167
"i_s","ROW",0.00614847628139235
"nfm","USA",0.0109219260362057
"nfm","ROW",0.00615053197927552
"fmp","USA",0.00767807172163748
"fmp","ROW",0.00979928145671853
"mvh","USA",0.00529741529898597
"mvh","ROW",0.0204797267138091
"otn","USA",0.00700194895677886
"otn","ROW",0.0101658865170539
"ele","USA",0.00725272704394275
"ele","ROW",0.0131670711584564
"ome","USA",0.0070136751942107
"ome","ROW",0.012484213546633
"omf","USA",0.00728118695624669
"omf","ROW",0.0193575324281005
"ely","USA",0.034102493044745
"ely","ROW",0.0194309021463607
"wtr","USA",0.0313437169471106
"wtr","ROW",-0.000427350069840617
"cns","USA",0.00605465428283847
"cns","ROW",0.00954168430924796
"trd","USA",0.0378775590314769
"trd","ROW",0.00899544375229944
"otp","USA",-0.0515297204782055
"otp","ROW",0.00741713994057514
"wtp","USA",0.0193889292010929
"wtp","ROW",0.00383546159052119
"atp","USA",0.0145517763938636
"atp","ROW",0.0126215757765844
"cmn","USA",0.024841210959763
"cmn","ROW",0.0113854351124087
"ofi","USA",0.0307180559828523
"ofi","ROW",0.0130003375235202
